site.name,percent.invaded.1,percent.invaded.2,latitude,longitude,date.1,date.2,Year
Mary Creek,NA,0.245810056,18.363957,-64.732102,NA,2021.08.16,2021
Anna Point,NA,0.355555556,18.369252, -64.732922,NA,2021.08.16,2021
Grootpan,0.304761905,0.386792453,18.30925,-64.718902,2021.06.28,2021.07.25,2021
Tektite,0,0,18.313569,-64.722239,2021.07.02,2021.08.20,2021
Yawzi,0,0,18.315165,-64.726003,2021.07.09,2021.08.23,2021
Round Bay,0,0,18.345449,-64.680453,2021.06.29,2021.08.22,2021
Europa,0.013071895,0.027624309,18.317406,-64.729576,2021.06.29,2021.08.23,2021
Booby Rock,NA,0.564705882,18.302784,-64.710055,NA,2021.08.02,2021
Deep Tektite,0,0.005154639,18.308139,-64.72511,2021.07.20,2021.08.23,2021
Tektite Mooring Ball,0.015625,0.017647059,18.310482,-64.722524,2021.07.07,2021.08.23,2021
